Order,Latitude,Longitude,Elevation,Date Created,Distance from Start,Distance from Last,Bearing,Speed
1,37.2299104,-80.4257024,623,11/11/2021 03:22:21 PM,0,0,0,0
2,37.2299104,-80.4257024,623,11/11/2021 03:22:22 PM,0,0,0,0
3,37.2299104,-80.4257024,623,11/11/2021 03:22:23 PM,0,0,0,0
4,37.2299104,-80.4257024,623,11/11/2021 03:22:24 PM,0,0,0,0
5,37.2299104,-80.4257024,623,11/11/2021 03:22:25 PM,0,0,0,0
6,37.2299104,-80.4257024,623,11/11/2021 03:22:26 PM,0,0,0,0
7,37.2299104,-80.4257024,623,11/11/2021 03:22:27 PM,0,0,0,0
8,37.2299104,-80.4257024,623,11/11/2021 03:22:28 PM,0,0,0,0
9,37.2299104,-80.4257024,623,11/11/2021 03:22:29 PM,0,0,0,0
10,37.2299072,-80.4257024,623,11/11/2021 03:22:30 PM,0,0,180,1.28
11,37.229904,-80.4257024,623,11/11/2021 03:22:31 PM,0.001,0,180,1.28
12,37.2299072,-80.4257152,623,11/11/2021 03:22:32 PM,0.002,0.001,287,4.27
13,37.2299104,-80.4257152,623,11/11/2021 03:22:33 PM,0.002,0,0,1.28
14,37.2299104,-80.4257024,623,11/11/2021 03:22:34 PM,0.003,0.001,90,4.08
15,37.2299168,-80.425696,623,11/11/2021 03:22:35 PM,0.004,0.001,39,3.27
16,37.2299232,-80.425696,624,11/11/2021 03:22:36 PM,0.005,0.001,0,2.56
17,37.2299264,-80.425696,624,11/11/2021 03:22:37 PM,0.005,0,0,1.28
18,37.2299296,-80.425696,624,11/11/2021 03:22:38 PM,0.006,0,0,1.28
19,37.2299392,-80.4256832,624,11/11/2021 03:22:39 PM,0.007,0.002,47,5.6
20,37.2299392,-80.4256832,624,11/11/2021 03:22:40 PM,0.007,0,0,0
21,37.2299392,-80.4256832,623,11/11/2021 03:22:41 PM,0.007,0,0,0
22,37.2299424,-80.4256832,623,11/11/2021 03:22:42 PM,0.008,0,0,1.28
23,37.2299456,-80.4256896,623,11/11/2021 03:22:43 PM,0.008,0.001,302,2.41
24,37.2299456,-80.4256832,623,11/11/2021 03:22:44 PM,0.009,0.001,90,2.04
25,37.2299488,-80.4256832,623,11/11/2021 03:22:45 PM,0.009,0,0,1.28
26,37.2299552,-80.4256768,622,11/11/2021 03:22:46 PM,0.01,0.001,39,3.27
27,37.2299584,-80.4256832,622,11/11/2021 03:22:47 PM,0.011,0.001,302,2.41
28,37.2299584,-80.4256832,622,11/11/2021 03:22:48 PM,0.011,0,0,0
29,37.2299584,-80.425696,622,11/11/2021 03:22:49 PM,0.012,0.001,270,4.08
30,37.2299616,-80.4256896,622,11/11/2021 03:22:50 PM,0.013,0.001,58,2.41
31,37.2299648,-80.4256832,622,11/11/2021 03:22:51 PM,0.013,0.001,58,2.41
32,37.2299648,-80.4256832,622,11/11/2021 03:22:52 PM,0.013,0,0,0
33,37.2299776,-80.425664,622,11/11/2021 03:22:53 PM,0.015,0.002,50,7.98
34,37.2299904,-80.4256448,621,11/11/2021 03:22:54 PM,0.018,0.002,50,7.98
35,37.2299904,-80.4256256,621,11/11/2021 03:22:55 PM,0.019,0.002,90,6.12
36,37.2299968,-80.4256256,621,11/11/2021 03:22:56 PM,0.02,0.001,0,2.56
37,37.2299872,-80.4256384,620,11/11/2021 03:22:57 PM,0.022,0.002,227,5.6
38,37.2299872,-80.4256384,619,11/11/2021 03:22:58 PM,0.022,0,0,0
39,37.2299872,-80.4256384,619,11/11/2021 03:22:59 PM,0.022,0,0,0
40,37.2299872,-80.4256384,619,11/11/2021 03:23:00 PM,0.022,0,0,0
41,37.2299872,-80.4256384,619,11/11/2021 03:23:01 PM,0.022,0,0,0
42,37.2299968,-80.4256256,619,11/11/2021 03:23:02 PM,0.023,0.002,47,5.6
43,37.2299968,-80.4256384,619,11/11/2021 03:23:03 PM,0.024,0.001,270,4.08
44,37.2299968,-80.4256384,618,11/11/2021 03:23:04 PM,0.024,0,180,0
45,37.2299968,-80.4256384,618,11/11/2021 03:23:05 PM,0.024,0,180,0
46,37.23,-80.4256384,618,11/11/2021 03:23:06 PM,0.025,0,0,1.28
47,37.2299968,-80.4256384,618,11/11/2021 03:23:07 PM,0.025,0,180,1.28
48,37.2299968,-80.4256384,618,11/11/2021 03:23:08 PM,0.025,0,180,0
49,37.2299968,-80.4256384,618,11/11/2021 03:23:09 PM,0.025,0,180,0
50,37.23,-80.4256256,617,11/11/2021 03:23:10 PM,0.026,0.001,73,4.27
51,37.23,-80.4256256,617,11/11/2021 03:23:11 PM,0.026,0,0,0
52,37.23,-80.4256256,617,11/11/2021 03:23:12 PM,0.026,0,0,0
53,37.23,-80.4256256,617,11/11/2021 03:23:13 PM,0.026,0,0,0
54,37.23,-80.4256256,617,11/11/2021 03:23:14 PM,0.026,0,0,0
55,37.23,-80.4256256,617,11/11/2021 03:23:15 PM,0.026,0,0,0
56,37.23,-80.4256256,617,11/11/2021 03:23:16 PM,0.026,0,0,0
57,37.23,-80.4256256,617,11/11/2021 03:23:17 PM,0.026,0,0,0
