Order,Latitude,Longitude,Date Created
1,37.2239136,-80.3850944,11/21/19 13:43
2,37.2239104,-80.3850944,11/21/19 13:43
3,37.2239104,-80.3850816,11/21/19 13:43
4,37.2239104,-80.3850688,11/21/19 13:43
5,37.2239104,-80.3850624,11/21/19 13:43
6,37.2239072,-80.3850496,11/21/19 13:43
7,37.2239072,-80.3850432,11/21/19 13:43
8,37.2239104,-80.3850304,11/21/19 13:43
9,37.2239104,-80.385024,11/21/19 13:43
10,37.2239104,-80.3850112,11/21/19 13:43
11,37.223904,-80.3849856,11/21/19 13:43
12,37.223888,-80.3849664,11/21/19 13:43
13,37.2238912,-80.3849536,11/21/19 13:43
14,37.2239008,-80.3849664,11/21/19 13:43
15,37.2239104,-80.3849728,11/21/19 13:43
16,37.22392,-80.3849664,11/21/19 13:43
17,37.2239296,-80.3849536,11/21/19 13:43
19,37.2239488,-80.3849344,11/21/19 13:43
20,37.2239584,-80.3849152,11/21/19 13:43
21,37.223968,-80.3849024,11/21/19 13:43
22,37.2239808,-80.3848896,11/21/19 13:43
23,37.2239904,-80.384864,11/21/19 13:43
24,37.2240032,-80.3848512,11/21/19 13:43
25,37.2240096,-80.3848448,11/21/19 13:43
26,37.2240224,-80.3848256,11/21/19 13:43
27,37.2240288,-80.3848128,11/21/19 13:43
28,37.2240416,-80.3847872,11/21/19 13:43
29,37.224048,-80.3847744,11/21/19 13:43
30,37.2240608,-80.3847488,11/21/19 13:43
31,37.2240704,-80.3847296,11/21/19 13:43
33,37.2240864,-80.3846976,11/21/19 13:43
34,37.2240928,-80.384672,11/21/19 13:43
35,37.2241024,-80.3846592,11/21/19 13:43
36,37.224112,-80.3846464,11/21/19 13:43
37,37.2241184,-80.3846208,11/21/19 13:43
38,37.2241248,-80.384608,11/21/19 13:43
39,37.224128,-80.3845888,11/21/19 13:44
40,37.2241216,-80.3845824,11/21/19 13:44
41,37.2241216,-80.3845568,11/21/19 13:44
42,37.2241216,-80.3845504,11/21/19 13:44
43,37.2241248,-80.3845312,11/21/19 13:44
44,37.2241248,-80.384512,11/21/19 13:44
45,37.2241312,-80.3844992,11/21/19 13:44
46,37.2241376,-80.3844864,11/21/19 13:44
47,37.2241408,-80.3844608,11/21/19 13:44
48,37.2241472,-80.384448,11/21/19 13:44
49,37.2241504,-80.3844288,11/21/19 13:44
50,37.2241568,-80.384416,11/21/19 13:44
51,37.2241632,-80.3843968,11/21/19 13:44
52,37.2241696,-80.3843904,11/21/19 13:44
53,37.2241792,-80.3843776,11/21/19 13:44
54,37.2241792,-80.3843584,11/21/19 13:44
55,37.2241792,-80.384352,11/21/19 13:44
56,37.2241792,-80.3843392,11/21/19 13:44
57,37.2241696,-80.38432,11/21/19 13:44
58,37.2241664,-80.3843072,11/21/19 13:44
59,37.22416,-80.3843008,11/21/19 13:44
60,37.2241408,-80.3843008,11/21/19 13:44
61,37.2241216,-80.3843008,11/21/19 13:44
62,37.2241056,-80.3842944,11/21/19 13:44
63,37.2240864,-80.3842944,11/21/19 13:44
64,37.2240704,-80.384288,11/21/19 13:44
65,37.2240512,-80.384288,11/21/19 13:44
66,37.2240384,-80.3842752,11/21/19 13:44
67,37.2240224,-80.3842688,11/21/19 13:44
68,37.2240096,-80.3842624,11/21/19 13:44
69,37.224,-80.384256,11/21/19 13:44
70,37.2239904,-80.3842496,11/21/19 13:44
71,37.2239872,-80.3842304,11/21/19 13:44
72,37.223984,-80.3842176,11/21/19 13:44
73,37.223984,-80.3842112,11/21/19 13:44
74,37.2239872,-80.384192,11/21/19 13:44
75,37.2239968,-80.3841728,11/21/19 13:44
76,37.224,-80.38416,11/21/19 13:44
77,37.2240032,-80.3841472,11/21/19 13:44
78,37.2240064,-80.3841344,11/21/19 13:44
79,37.2240096,-80.3841152,11/21/19 13:44
80,37.2240096,-80.3841088,11/21/19 13:44
81,37.2240128,-80.384096,11/21/19 13:44
82,37.2240192,-80.3840896,11/21/19 13:44
83,37.2240256,-80.3840768,11/21/19 13:44
84,37.2240416,-80.3840768,11/21/19 13:45
85,37.2240384,-80.3840704,11/21/19 13:45
86,37.2240384,-80.384064,11/21/19 13:45
87,37.2240384,-80.3840576,11/21/19 13:45
88,37.2240384,-80.3840512,11/21/19 13:45
89,37.2240384,-80.3840384,11/21/19 13:45
90,37.2240416,-80.384032,11/21/19 13:45
91,37.2240416,-80.3840256,11/21/19 13:45
92,37.2240448,-80.3840192,11/21/19 13:45
93,37.2240448,-80.3840128,11/21/19 13:45
94,37.224048,-80.3840128,11/21/19 13:45
95,37.2240448,-80.384,11/21/19 13:45
96,37.2240448,-80.3839936,11/21/19 13:45
97,37.2240512,-80.3839872,11/21/19 13:45
98,37.2240608,-80.3839872,11/21/19 13:45
99,37.2240608,-80.3839872,11/21/19 13:45
100,37.224064,-80.3839872,11/21/19 13:45
101,37.2240608,-80.3839936,11/21/19 13:45
102,37.2240576,-80.3839936,11/21/19 13:45
103,37.2240512,-80.3840128,11/21/19 13:45
