Order,Latitude,Longitude,Elevation,Date Created,Distance from Start,Distance from Last,Bearing,Speed
1,33.7807968,-84.3985472,279.00,11/28/2012 09:33:39 AM,0.000,0.0,0.00,0.00
2,33.7808288,-84.3985472,280.00,11/28/2012 09:35:46 AM,0.004,0.003,180.00,0.05
3,33.7808256,-84.3985344,281.00,11/28/2012 09:35:54 AM,0.005,0.001,270.00,0.85
4,33.7808416,-84.3985216,283.00,11/28/2012 09:36:00 AM,0.008,0.003,270.00,0.71
5,33.7808416,-84.3985152,282.00,11/28/2012 09:36:04 AM,0.008,0.001,0.00,0.00
6,33.7808384,-84.3985152,281.00,11/28/2012 09:36:09 AM,0.010,0.002,59.00,1.24
7,33.7808352,-84.3985280,280.00,11/28/2012 09:36:32 AM,0.014,0.005,180.00,0.35
8,33.7808800,-84.3985600,280.00,11/28/2012 09:36:36 AM,0.020,0.006,140.00,3.33
9,33.7808832,-84.3986048,280.00,11/28/2012 09:36:41 AM,0.024,0.005,90.00,1.06
10,33.7809056,-84.3985728,283.00,11/28/2012 09:36:48 AM,0.028,0.005,239.00,4.97
11,33.7809120,-84.3985664,282.00,11/28/2012 09:36:53 AM,0.032,0.004,180.00,2.56
12,33.7809152,-84.3985536,283.00,11/28/2012 09:37:01 AM,0.034,0.002,0.00,1.28
13,33.7809120,-84.3985472,282.00,11/28/2012 09:37:05 AM,0.038,0.004,209.00,4.39
14,33.7809760,-84.3985088,281.00,11/28/2012 09:37:09 AM,0.047,0.008,195.00,7.97
15,33.7809472,-84.3985344,282.00,11/28/2012 09:37:46 AM,0.053,0.006,0.00,2.56
16,33.7809376,-84.3985472,282.00,11/28/2012 09:38:53 AM,0.057,0.003,59.00,0.22
17,33.7809440,-84.3985344,278.00,11/28/2012 09:42:54 AM,0.063,0.005,270.00,4.26
18,33.7809600,-84.3985344,277.00,11/28/2012 09:43:01 AM,0.065,0.003,180.00,1.28
19,33.7809664,-84.3985600,277.00,11/28/2012 09:43:05 AM,0.069,0.004,40.00,3.33
20,33.7809920,-84.3985728,277.00,11/28/2012 09:43:59 AM,0.073,0.005,140.00,6.66
21,33.7810144,-84.3986752,277.00,11/28/2012 09:44:03 AM,0.083,0.01,97.00,10.72
22,33.7810240,-84.3987712,277.00,11/28/2012 09:44:07 AM,0.092,0.008,90.00,8.51
23,33.7810336,-84.3989056,277.00,11/28/2012 09:44:11 AM,0.104,0.012,90.00,17.02
24,33.7810400,-84.3990272,279.00,11/28/2012 09:44:15 AM,0.116,0.012,90.00,10.64
25,33.7810592,-84.3990912,279.00,11/28/2012 09:44:19 AM,0.122,0.007,121.00,4.97
26,33.7811328,-84.3991552,280.00,11/28/2012 09:44:23 AM,0.133,0.011,170.00,11.72
27,33.7812544,-84.3991680,281.00,11/28/2012 09:44:27 AM,0.146,0.014,180.00,12.80
28,33.7813536,-84.3991616,281.00,11/28/2012 09:44:31 AM,0.158,0.011,198.00,6.74
29,33.7814144,-84.3991168,280.00,11/28/2012 09:44:35 AM,0.166,0.008,214.00,7.69
30,33.7814304,-84.3990016,279.00,11/28/2012 09:44:39 AM,0.177,0.013,276.00,12.83
31,33.7814336,-84.3987904,280.00,11/28/2012 09:44:43 AM,0.197,0.019,270.00,21.28
32,33.7814144,-84.3984832,281.00,11/28/2012 09:44:47 AM,0.225,0.029,288.00,24.64
33,33.7814208,-84.3981376,281.00,11/28/2012 09:44:51 AM,0.257,0.033,267.00,27.69
34,33.7814240,-84.3978112,281.00,11/28/2012 09:44:55 AM,0.288,0.03,264.00,25.66
35,33.7814336,-84.3975616,281.00,11/28/2012 09:44:59 AM,0.311,0.022,270.00,19.15
36,33.7814336,-84.3973696,282.00,11/28/2012 09:45:03 AM,0.328,0.017,270.00,14.90
37,33.7814592,-84.3971968,283.00,11/28/2012 09:45:07 AM,0.345,0.016,270.00,8.51
38,33.7814784,-84.3970560,283.00,11/28/2012 09:45:11 AM,0.359,0.014,243.00,14.28
39,33.7814560,-84.3968896,284.00,11/28/2012 09:45:15 AM,0.374,0.017,297.00,16.76
40,33.7814528,-84.3966464,284.00,11/28/2012 09:45:19 AM,0.398,0.024,248.00,20.63
41,33.7814976,-84.3963520,288.00,11/28/2012 09:45:23 AM,0.426,0.028,253.00,26.67
42,33.7815040,-84.3960832,287.00,11/28/2012 09:45:27 AM,0.451,0.025,267.00,21.32
43,33.7815104,-84.3956736,284.00,11/28/2012 09:45:31 AM,0.489,0.037,270.00,34.05
44,33.7815584,-84.3952896,284.00,11/28/2012 09:45:35 AM,0.525,0.036,256.00,30.77
45,33.7815136,-84.3946176,285.00,11/28/2012 09:45:39 AM,0.589,0.065,293.00,81.06
46,33.7814112,-84.3940416,287.00,11/28/2012 09:45:43 AM,0.644,0.054,277.00,40.75
47,33.7813696,-84.3936064,286.00,11/28/2012 09:45:47 AM,0.685,0.042,259.00,34.64
48,33.7814208,-84.3933184,285.00,11/28/2012 09:45:51 AM,0.712,0.028,274.00,17.07
49,33.7814816,-84.3931520,286.00,11/28/2012 09:45:55 AM,0.731,0.019,228.00,17.20
50,33.7815680,-84.3930432,292.00,11/28/2012 09:45:59 AM,0.745,0.014,200.00,12.28
51,33.7815968,-84.3929664,299.00,11/28/2012 09:46:03 AM,0.754,0.008,270.00,8.51
52,33.7815936,-84.3929088,301.00,11/28/2012 09:46:07 AM,0.759,0.006,281.00,6.51
53,33.7816384,-84.3928832,299.00,11/28/2012 09:46:16 AM,0.766,0.007,180.00,1.28
54,33.7816384,-84.3928064,299.00,11/28/2012 09:46:20 AM,0.773,0.006,287.00,4.44
